TRENDID,year,status,QFLAG,dov_flag,SCREEN,smptyp14,mode,SC1a,SC1b,SC1c,sc2,sc2b,sc4m1,sc4m2,sc4b,sc5,HispIR,RaceIR,ageir,SC6,SC7,SC8,SC9,SC10,sc11,SC11a,sc12A_1,sc12A_2,sc12A_3,sc12A_4,sc12A_5,sc12A_6,sc12A_7,HHsize,HHer,HHtype,hispHH,raceHH,ageHH,ageHHcat,sc13,sc14a,SC14B,CGHH,agecg,agecgcat,hispcg,raceCG,sexcg,Q2,Q3,Q4,Q2b,q2fin,Q1,agecr,ageCRcat,selC1,sexcr,q7,Q11,Q12,Q13,Q14c,lives,banlives,q15b,Q16b,q17a,q17b,q17c,split17,q17dALL,q17d,q17dALT,q17f,q17g,q17ctn,split18,Q18,Q19,Q20,alzdem,q20b,park,Q21,q21x,Q21AVG,q21cat,q22a,q22b,q22c,q22d,q22e,q22f,adls,N1,q22g,q23a,q23b,q23c,q23d,q23e,q23f,iadls,n2,M8,q23g,q23i,q23j,CSAs,Q25,HOURS,hourscat,banhours,burden,burdcat,Q25Z,N3,n4,n5,n6m1,n6m2,n6m3,n7,n8m1,n8m2,n8m3,n8m4,n8m5,n8m6,n8m7,n8m8,n8m9,N9,n10,n11,Q28,Q29,primary,primdet,Q29Z,Q30,Q38,N12,Q35,Q36,Q37B,Q39,choice,m5a,m5b,m5c,Q32A,Q33,empcare,N13,Q33Z,N13B,N14,n16a,n16b,n16c,n16d,n16e,n16f,N16ct,N16ctALT,q34a,q34b,q34c,q34d,q34e,q34f,q34g,q34h,q34ct,M2,N15_1,N15_2,N15_3,N15_4,N15_5,n15_6,n15_7,n15_9,n15_10,n15_11,n15_1_15,n15_2_15,n15_3_15,n15_4_15,n15_5_15,n15_6_15,n15_7_15,n15_9_15,M3,n17,n18,q45a,q45b,q45c,q45d,q45e,q45f,N19,n20_1,n20_2,n20_3,N20_4,N20_5,N20_6,N20_7,n20_9,M1_1,M1_2,M1_3,M1_4,M1_5,M1_6,m1_7,m1_10,m1_98,m1_99,m7a,m7b,m7c,m7d,m7e,m7f,m7g,m7h,m11a,m11b,m11c,m11d,m11e,q48a,q48b,q48c,q48d,q48L,q48m,q48n,q48e,q48f,q48g,q48_98,Q48a_15,Q48b_15,Q48c_15,Q48L_15,Q48m_15,Q48e_15,N21,N22,m6a,m6b,m6c,m6d,m6e,m6f,m6g,m6h,m6i,m6j,m6k,m6L,m6m,m6save,m6debt,m6bills,m6home,m6work,m9a,m9b,m9c,q47x,q47x_full,q47a,M10,D1,D2,M12,M13,marital,D6,d4,D5,d5b,EDUC,INCOME,INCOME19,ALTINC19,INTNET,lgbt,lang,HH14WGT,IND14WGT,WGTAcg,WGT65plus,WGT6574,WGT75plus,ASflag,OLDflag,valdated
190823.0,2019.0,1.0,1.0,100.0,1.0,1.0,3.0,1.0,3.0,1.0,34.0,2.0,1.0,,,1.0,2.0,1.0,34.0,4.0,1.0,2.0,,,,,,,,,,,,4.0,1.0,2.0,2.0,1.0,34.0,2.0,,,,1.0,34.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,48.0,2.0,1.0,2.0,14.0,1.0,,,2.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,2.0,2.0,2.0,2.0,31.0,,3.0,2.0,,,95.0,995.0,0.75,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,,3.0,1.0,1.0,2.0,,170.0,77.0,4.0,2.0,4.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,2.0,1.0,,1.0,30.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,2.0,1.0,2.0,2.0,2.0,4.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,2.0,2.0,,2.0,3.0,3.0,2.0,,2.0,2.0,2.0,2.0,,1.0,5.0,92.5,87.5,1.0,2.0,1.0,1.3675592839999997,1.11121,,,,,,,1.0
190832.0,2019.0,1.0,1.0,100.0,1.0,1.0,3.0,1.0,3.0,1.0,69.0,6.0,1.0,,,2.0,2.0,1.0,69.0,2.0,1.0,1.0,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,69.0,6.0,,,,1.0,69.0,3.0,2.0,1.0,2.0,1.0,,,,1.0,2.0,70.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,4.0,2.0,4.0,,4.0,4.0,4.0,1.0,2.0,14.0,,3.0,2.0,,,96.0,996.0,0.25,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,,,2.0,2.0,1.0,,20.0,20.0,2.0,1.0,4.0,3.0,,1.0,,,,,,,,,,,,,,,,3.0,,,1.0,2.0,2.0,3.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,4.0,,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,2.0,2.0,,2.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,,2.0,3.0,37.5,40.0,1.0,2.0,1.0,0.7520981424,0.85027,,1.52275342173,1.13951,,,1.0,1.0
190840.0,2019.0,1.0,1.0,100.0,1.0,1.0,3.0,1.0,1.0,2.0,71.0,6.0,1.0,,,1.0,2.0,1.0,71.0,3.0,1.0,1.0,,,,,,,,,,,,3.0,1.0,1.0,2.0,1.0,71.0,6.0,,,,3.0,71.0,3.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,31.0,2.0,1.0,1.0,19.0,1.0,,,2.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,,2.0,2.0,2.0,1.0,8.0,,3.0,2.0,,,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,,4.0,1.0,1.0,1.0,,40.0,40.0,3.0,2.0,4.0,3.0,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,1.0,2.0,2.0,1.0,1.0,4.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,4.0,,2.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,,4.0,6.0,112.5,200.0,1.0,2.0,1.0,0.7520981424,0.83316,,1.4921115353399999,1.11658,,,1.0,1.0
190853.0,2019.0,1.0,1.0,100.0,1.0,1.0,3.0,1.0,3.0,1.0,74.0,6.0,1.0,,,2.0,2.0,1.0,74.0,2.0,2.0,,1.0,67.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,67.0,6.0,,,,1.0,74.0,3.0,2.0,1.0,2.0,1.0,,,,1.0,2.0,67.0,3.0,1.0,2.0,17.0,1.0,,,2.0,9.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,2.0,32.0,,3.0,2.0,,,96.0,996.0,0.25,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,,3.0,1.0,1.0,1.0,,170.0,77.0,4.0,2.0,5.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,3.0,,,1.0,3.0,2.0,4.0,2.0,1.0,3.0,3.0,4.0,5.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,2.0,1.0,2.0,3.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,7.0,,2.0,4.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,,5.0,3.0,37.5,40.0,1.0,2.0,1.0,0.7520981424,0.85027,,1.52275342173,1.13951,,,1.0,1.0
190859.0,2019.0,1.0,1.0,100.0,1.0,1.0,3.0,1.0,3.0,1.0,71.0,6.0,4.0,,,2.0,1.0,5.0,71.0,6.0,1.0,1.0,,,,,,,,,,,,6.0,1.0,1.0,1.0,5.0,71.0,6.0,,,,1.0,71.0,3.0,1.0,5.0,2.0,1.0,,,,1.0,1.0,52.0,3.0,1.0,1.0,19.0,1.0,,,2.0,9.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,,2.0,2.0,2.0,1.0,2.0,22.0,,2.0,1.0,,,94.0,52.0,52.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,,2.0,1.0,1.0,1.0,,12.0,12.0,2.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,2.0,,,1.0,2.0,2.0,2.0,1.0,2.0,3.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,4.0,,2.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,2.0,,1.0,2.0,27.5,22.5,1.0,2.0,1.0,0.6679952664000001,0.74302,,1.3306837169399999,0.99578,,,1.0,1.0
190862.0,2019.0,1.0,1.0,100.0,1.0,1.0,3.0,1.0,3.0,1.0,80.0,7.0,1.0,,,1.0,2.0,1.0,80.0,2.0,1.0,1.0,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,80.0,7.0,,,,1.0,80.0,3.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,81.0,3.0,1.0,2.0,20.0,1.0,,,2.0,9.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,43.0,,,1.0,,,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,,3.0,1.0,1.0,1.0,,170.0,77.0,4.0,2.0,5.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,5.0,,,2.0,,1.0,1.0,,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,1.0,2.0,2.0,3.0,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0,2.0,2.0,,2.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,,4.0,6.0,112.5,200.0,1.0,2.0,1.0,0.8983250324,0.93472,,0.51016949442,,0.74358,,2.0,1.0
190882.0,2019.0,1.0,1.0,100.0,1.0,1.0,3.0,1.0,3.0,1.0,59.0,5.0,1.0,,,2.0,2.0,1.0,59.0,1.0,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,59.0,5.0,,,,1.0,59.0,2.0,2.0,1.0,2.0,1.0,,,,1.0,1.0,87.0,3.0,1.0,2.0,13.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,,4.0,4.0,1.0,2.0,5.0,,3.0,2.0,,,8.0,8.0,8.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,,2.0,1.0,1.0,1.0,,6.0,6.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,1.0,,2.0,2.0,1.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,,1.0,40.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,,2.0,4.0,2.0,2.0,,6.0,2.0,2.0,2.0,,2.0,4.0,67.5,62.5,1.0,2.0,1.0,1.371073054,0.81052,,,,,,,1.0
190883.0,2019.0,1.0,1.0,100.0,1.0,1.0,3.0,1.0,3.0,1.0,66.0,6.0,1.0,,,1.0,2.0,1.0,66.0,2.0,1.0,1.0,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,66.0,6.0,,,,1.0,66.0,3.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,91.0,3.0,1.0,2.0,14.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,43.0,,,1.0,,,6.0,6.0,6.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,,4.0,1.0,1.0,1.0,,20.0,20.0,2.0,1.0,4.0,3.0,,1.0,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,1.0,,2.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,20.0,2.0,1.0,,,,,,,,,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,5.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,2.0,2.0,,2.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,6.0,6.0,237.5,200.0,1.0,2.0,1.0,0.7520981424,0.83316,,1.4921115353399999,1.11658,,,1.0,1.0
190885.0,2019.0,1.0,1.0,100.0,1.0,1.0,3.0,1.0,3.0,1.0,79.0,7.0,1.0,,,2.0,2.0,1.0,79.0,1.0,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,79.0,7.0,,,,1.0,79.0,3.0,2.0,1.0,2.0,1.0,,,,1.0,1.0,71.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,39.0,,3.0,2.0,,,95.0,995.0,0.75,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,,,2.0,1.0,2.0,,3.0,3.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,4.0,,,1.0,1.0,1.0,2.0,2.0,2.0,7.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,7.0,7.0,,2.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,,2.0,2.0,22.5,22.5,1.0,2.0,1.0,2.6409819667999996,1.43263,,0.64142709411,,0.93489,,2.0,1.0
190895.0,2019.0,1.0,1.0,100.0,1.0,1.0,3.0,1.0,3.0,1.0,44.0,3.0,1.0,,,1.0,2.0,1.0,44.0,3.0,2.0,,1.0,82.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,82.0,7.0,,,,1.0,44.0,1.0,2.0,1.0,1.0,2.0,,,,2.0,1.0,82.0,3.0,1.0,1.0,6.0,1.0,,,2.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,24.0,,2.0,1.0,,,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,,4.0,1.0,1.0,1.0,,12.0,12.0,2.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,1.0,,2.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,3.0,5.0,5.0,1.0,,1.0,35.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,5.0,4.0,4.0,,2.0,3.0,3.0,1.0,2.0,6.0,2.0,2.0,2.0,,2.0,1.0,11.25,7.5,1.0,1.0,1.0,0.8983250324,0.95354,,,,,,,1.0
190903.0,2019.0,1.0,1.0,100.0,1.0,1.0,3.0,1.0,3.0,1.0,71.0,6.0,1.0,,,1.0,2.0,1.0,71.0,2.0,1.0,1.0,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,71.0,6.0,,,,1.0,71.0,3.0,2.0,1.0,1.0,1.0,,,,1.0,2.0,68.0,3.0,1.0,2.0,20.0,1.0,,,2.0,9.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,,2.0,1.0,3.0,2.0,20.0,,2.0,1.0,,,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,,3.0,1.0,1.0,1.0,,10.0,10.0,2.0,1.0,4.0,3.0,,1.0,,,,,,,,,,,,,,,,2.0,,,2.0,,1.0,1.0,,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2.0,,,2.0,2.0,2.0,1.0,1.0,2.0,5.0,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,,2.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,,5.0,3.0,32.5,40.0,1.0,2.0,1.0,0.7520981424,0.83316,,1.4921115353399999,1.11658,,,1.0,1.0
190906.0,2019.0,1.0,1.0,100.0,1.0,1.0,3.0,1.0,3.0,1.0,77.0,7.0,1.0,,,2.0,2.0,1.0,77.0,2.0,1.0,1.0,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,77.0,7.0,,,,1.0,77.0,3.0,2.0,1.0,2.0,1.0,,,,1.0,1.0,86.0,3.0,1.0,1.0,20.0,1.0,,,2.0,9.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,1.0,2.0,1.0,24.0,,2.0,1.0,,,95.0,995.0,0.75,3.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,,2.0,1.0,1.0,1.0,,170.0,77.0,4.0,2.0,5.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,2.0,,1.0,1.0,,2.0,2.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,,4.0,,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,,2.0,2.0,22.5,22.5,1.0,2.0,1.0,0.8983250324,1.43263,,0.64142709411,,0.93489,,2.0,1.0
190913.0,2019.0,1.0,1.0,100.0,1.0,1.0,3.0,1.0,3.0,1.0,54.0,4.0,1.0,,,1.0,2.0,1.0,54.0,2.0,1.0,1.0,,,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,54.0,4.0,,,,1.0,54.0,2.0,2.0,1.0,1.0,2.0,,,,2.0,1.0,82.0,3.0,1.0,2.0,13.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,1.0,20.0,,3.0,2.0,,,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,,,1.0,1.0,1.0,,4.0,4.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,2.0,2.0,,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,3.0,6.0,137.5,200.0,1.0,2.0,1.0,0.9472367107999998,1.06043,,,,,,,1.0
